134,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
41,0,0,0,0,0,0,0,0,0
46,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
47,0,0,0,0,0,0,0,0,0
50,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
61,8.0,4.0,6.0,3.0,0.0,0.0,6.0,1.0,2.0
66,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
67,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
68,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
69,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
70,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
73,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
74,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
75,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
99,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
103,16.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,2.0
104,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
105,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
109,9.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,3.0
112,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
113,6.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0
114,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
115,13.0,5.0,0.0,1.0,0.0,2.0,3.0,3.0,2.0
116,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
117,16.0,6.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0
118,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
119,15.0,39.0,39.0,1.0,0.0,1.0,2.0,1.0,2.0
122,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
125,12.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0
126,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
129,8.0,4.0,8.0,5.0,0.0,0.0,5.0,0.0,0.0
130,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,descriptors,encouragement,degradation,disagreement,support,problem_solving,feedback,appreciation,creativity
135,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0
